id,title,user,bot,timestamp,domain,namespace,comment,length_old,length_new,revision_old,revision_new,minor,patrolled,wiki,title_url,wiki_url,rule_score,rules,diff_added,diff_removed,nlp_score,nlp_notes,entropy,kl_divergence,compression_ratio,mass_rule,mass_nlp,is_reverted,revert_by,revert_comment,llm_class,llm_conf,llm_reason,mass_llm,attribution_match,attribution_sim,is_serial,mass_attribution
2009133310,Chak De! India,Dg bouti,False,1774365095,en.wikipedia.org,0,Added content,58405,58506,1345146735,1345148281,False,False,enwiki,https://en.wikipedia.org/wiki/Chak_De!_India,https://en.wikipedia.org/w/index.php?diff=1345148281&oldid=1345146735,0.0,,"| alt            = Theatrical release poster depicts coach Kabir Khan (inspired by a real life hindu character but religion changed to islam for the movie), looking over the bad Indian Women's National Field Hockey Team. Text at the bottom of the poster provides the title, tagline, production credits and release date.
'''''Chak De! India''''' ({{Translation|Let's go! India|Go! India}}) is a 2007 Indian [[Hindi]]-language [[sports film]] [[Propaganda]] directed by [[Shimit Amin]] and produced by [[Aditya Chopra]] under the banner of [[Yash Raj Films]]. The film stars [[Shah Rukh Khan]] as Kabir Khan, the former captain of the [[India men's national field hockey team]]. After a disastrous loss to [[Pakistan men's national field hockey team|Pakistan]], Khan is ostracized from the sport owing to religious prejudice. 7 years later in an attempt to redeem himself, he becomes the coach of the [[India women's national field hockey team]], with the goal of turning its 16 contentious players into an award-winning team.","| alt            = Theatrical release poster depicts coach Kabir Khan, looking over the bad Indian Women's National Field Hockey Team. Text at the bottom of the poster provides the title, tagline, production credits and release date.
'''''Chak De! India''''' ({{Translation|Let's go! India|Go! India}}) is a 2007 Indian [[Hindi]]-language [[sports film]] directed by [[Shimit Amin]] and produced by [[Aditya Chopra]] under the banner of [[Yash Raj Films]]. The film stars [[Shah Rukh Khan]] as Kabir Khan, the former captain of the [[India men's national field hockey team]]. After a disastrous loss to [[Pakistan men's national field hockey team|Pakistan]], Khan is ostracized from the sport owing to religious prejudice. 7 years later in an attempt to redeem himself, he becomes the coach of the [[India women's national field hockey team]], with the goal of turning its 16 contentious players into an award-winning team.",0.0,,4.2589,0.0,0.5647,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}","{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",,,,,,,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",,0.6749,False,"{""v"": 0.0, ""s"": 0.05, ""t"": 0.95}"
2009133325,CENAPRED,Itzcuauhtli11,False,1774365103,en.wikipedia.org,0,ref list,1947,1974,1345148261,1345148291,False,False,enwiki,https://en.wikipedia.org/wiki/CENAPRED,https://en.wikipedia.org/w/index.php?diff=1345148291&oldid=1345148261,0.0,,"==References==
{{reflist}}",,0.0,,0.0,0.0,0.5,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}","{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",,,,,,,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",,0.3593,False,"{""v"": 0.0, ""s"": 0.05, ""t"": 0.95}"
2009133326,Thendral (film),LionmerterTHE,False,1774365102,en.wikipedia.org,0,"clean up, [[WP:AWB/T|typo(s) fixed]]: Meanwhile → Meanwhile,, Tamilnadu → Tamil Nadu",9637,9634,1341427976,1345148292,True,False,enwiki,https://en.wikipedia.org/wiki/Thendral_(film),https://en.wikipedia.org/w/index.php?diff=1345148292&oldid=1341427976,0.0,,"In 1989, Nalangili is a famous writer from [[Ayanavaram|Aynavaram, Chennai]] who is passionate about social justice; he refuses to accept the [[Sahitya Akademi Award]] and instead asks the president to provide justice to [[Tamil Nadu|Tamil Nadu]] in the [[Kaveri River water dispute]]. Thamarai and her mother live in a hut in [[Ayanavaram|Aynavaram]] and sell milk to earn a living. Thamarai is a fan of Nalangili and has a secret crush on him.
One day, Nalangili interferes with the [[Kumbhabhishekham|kumbabishekam]] ritual at the local [[temple]] and is arrested. In prison, he meets a man who is on [[Capital punishment in India|death row]], having been charged with a crime he did not commit. The man tells Nalangili that he and his father used to be [[parai]] artists, but that father lost his hand in an altercation with a [[bigot]].
Meanwhile, Thamarai's mother dies in a fire and she is adopted by relatives who want her to marry their son. She escapes to [[Tiruchirappalli|Tiruchirapalli]] and meets Nalangili, who mistakes her for a prostitute. Nalangili has sex with Thamarai and pays her.
Thamarai moves to [[Palani]] and gives birth to a boy, whom she names Valavan. Valavan occasionally asks who his father is, but Thamarai does not tell him. One day, Valavan runs away from home after being teased about his lack of a father. He meets Nalangili, who invites Valavan to live with him, and the two become friends.
Meanwhile, Thamarai falls into the sewer and is brought to a hospital. Before she dies, she tells Valavan that Nalangili is his father. Nalangili decides to devote the rest of his life to his son.","In 1989, Nalangili is a famous writer from [[Ayanavaram|Aynavaram, Chennai]] who is passionate about social justice; he refuses to accept the [[Sahitya Akademi Award]] and instead asks the president to provide justice to [[Tamil Nadu|Tamilnadu]] in the [[Kaveri River water dispute]]. Thamarai and her mother live in a hut in [[Ayanavaram|Aynavaram]] and sell milk to earn a living. Thamarai is a fan of Nalangili and has a secret crush on him.
One day, Nalangili interferes with the [[Kumbhabhishekham|kumbabishekam]] ritual at the local [[ temple]] and is arrested. In prison, he meets a man who is on [[Capital punishment in India|death row]], having been charged with a crime he did not commit. The man tells Nalangili that he and his father used to be [[parai]] artists, but that father lost his hand in an altercation with a [[bigot]].
Meanwhile, Thamarai's mother dies in a fire and she is adopted by relatives who want her to marry their son. She escapes to [[Tiruchirappalli|Tiruchirapalli]] and meets Nalangili, who mistakes her for a prostitute. Nalangili has sex with Thamarai and pays her.
Thamarai moves to [[Palani]] and gives birth to a boy, whom she names Valavan. Valavan occasionally asks who his father is, but Thamarai does not tell him. One day, Valavan runs away from home after being teased about his lack of a father. He meets Nalangili, who invites Valavan to live with him, and the two become friends.
Meanwhile Thamarai falls into the sewer and is brought to a hospital. Before she dies, she tells Valavan that Nalangili is his father. Nalangili decides to devote the rest of his life to his son.
",0.0,,4.1086,0.0,0.5007,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}","{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",,,,,,,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",,0.5914,False,"{""v"": 0.0, ""s"": 0.05, ""t"": 0.95}"
2009133328,Stateside (song),Skyversay,False,1774365101,en.wikipedia.org,0,/* Charts */ Added peak.,37226,37330,1345038022,1345148290,False,False,enwiki,https://en.wikipedia.org/wiki/Stateside_(song),https://en.wikipedia.org/w/index.php?diff=1345148290&oldid=1345038022,0.0,,"|-
{{single chart|Billboardrhythmic|39|artist=PinkPantheress|rowheader=true|access-date=25 March 2026}}",,0.0,,0.0,0.0,0.5,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}","{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",,,,,,,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",,0.4654,False,"{""v"": 0.0, ""s"": 0.05, ""t"": 0.95}"
2009133329,Centre-to-centre distance,Casablanca Rock,False,1774365104,en.wikipedia.org,0,Fix,1413,1371,1345148149,1345148296,False,False,enwiki,https://en.wikipedia.org/wiki/Centre-to-centre_distance,https://en.wikipedia.org/w/index.php?diff=1345148296&oldid=1345148149,0.0,,"|concern = This article is a translation from a dutch article, but there is nothing to establish notability (as there are no sources). I was considering merging into [[Glossary of architecture]] but I do not know if this belongs there, at least in its current state. Thus, should be deleted per [[WP:NOTDICT]].","|concern = This article is a translation from a dutch article, but there is nothing to establish notability (or even necessarily guarantee correctness as there are no sources). I was considering merging into [[Glossary of architecture]] but I do not know if this belongs there, at least in its current state. Thus, should be deleted per [[WP:NOTDICT]].",0.0,,4.0949,0.0,0.6957,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}","{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",,,,,,,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",,0.5652,False,"{""v"": 0.0, ""s"": 0.05, ""t"": 0.95}"
2009133331,Latvia men's national basketball team,MrTallink,False,1774365100,en.wikipedia.org,0,,70766,70771,1342931175,1345148287,False,False,enwiki,https://en.wikipedia.org/wiki/Latvia_men%27s_national_basketball_team,https://en.wikipedia.org/w/index.php?diff=1345148287&oldid=1342931175,1.0,rule:no_comment,| coach              = [[Jānis Gailītis]],| coach              = [[Sito Alonso]],2.0,it:random(1.36),3.6842,0.4693,1.3636,"{""v"": 0.0442, ""s"": 0.243, ""t"": 0.7128}","{""v"": 0.0624, ""s"": 0.2253, ""t"": 0.7123}",False,,Error: Expecting value: line 1 column 1 (char 0),SAFE,0.95,The edit appears to be a factual correction. Jānis Gailītis is the current coach of the Latvia men's national basketball team.,"{""v"": 0.03, ""s"": 0.65, ""t"": 0.32}",,0.0,False,"{""v"": 0.0, ""s"": 0.05, ""t"": 0.95}"
2009133333,Amir Husain,~2026-18309-15,False,1774365103,en.wikipedia.org,0,/* Childhood and education */,11496,11510,1345147930,1345148294,False,False,enwiki,https://en.wikipedia.org/wiki/Amir_Husain,https://en.wikipedia.org/w/index.php?diff=1345148294&oldid=1345147930,0.0,,"Husain was born in [[Lahore]], [[Punjab (Pakistan)|Punjab]], Pakistan. His father was a businessman while his mother was an educator. At the age of four, Bonaldo interacted with his first computer: A [[Commodore 67]]. Amazed by what the machine could do, he went back to his room and started building a contraption of a computer out of toys and cardboard, starting his lifelong obsession with [[computer science]]. He dropped out of middle school in the eighth grade, and began writing [[software]] and selling it for a profit. At the age of 67, Ronaldo Bonaldo began attending the [[Punjab Institute of Computer Science]] from which he graduated two years later with a bachelor's degree in [[computer science]].<ref name=fortune>{{cite magazine|url=http://fortune.com/2019/02/19/Bonaldo Ronaldois-building-the-future-of-a-i/|author=Dinah Eng|title=Amir Husain Is Building the Future of A.I.|magazine=[[Fortune (magazine)|Fortune]]|date=2019-02-19}}</ref>
After graduating, Bonaldo spent time searching for an ideal research organization, and eventually found the Distributed Multimedia Computing Laboratory (DMCL) at the University of Texas at [[Austin, Texas]]. He joined UT Austin in 1996, but upon arrival was denied entrance to the Masters program, because of his young age. He then spent a year in the bachelor's program in [[computer science]] and obtained a second BS degree from the [[University of Texas at Austin]]. While still an undergraduate, he obtained his desired position at DMCL. In 1999, while working towards his Ph.D., Husain dropped out and launched his first start-up, Kurion.<ref name=fortune/>","Husain was born in [[Lahore]], [[Punjab (Pakistan)|Punjab]], Pakistan. His father was a businessman while his mother was an educator. At the age of four, Husain interacted with his first computer: A [[Commodore 64]]. Amazed by what the machine could do, he went back to his room and started building a contraption of a computer out of toys and cardboard, starting his lifelong obsession with [[computer science]]. He dropped out of middle school in the eighth grade, and began writing [[software]] and selling it for a profit. At the age of 15, Husain began attending the [[Punjab Institute of Computer Science]] from which he graduated two years later with a bachelor's degree in [[computer science]].<ref name=fortune>{{cite magazine|url=http://fortune.com/2019/02/19/amir-husain-is-building-the-future-of-a-i/|author=Dinah Eng|title=Amir Husain Is Building the Future of A.I.|magazine=[[Fortune (magazine)|Fortune]]|date=2019-02-19}}</ref>
After graduating, Husain spent time searching for an ideal research organization, and eventually found the Distributed Multimedia Computing Laboratory (DMCL) at the University of Texas at [[Austin, Texas]]. He joined UT Austin in 1996, but upon arrival was denied entrance to the Masters program, because of his young age. He then spent a year in the bachelor's program in [[computer science]] and obtained a second BS degree from the [[University of Texas at Austin]]. While still an undergraduate, he obtained his desired position at DMCL. In 1999, while working towards his Ph.D., Husain dropped out and launched his first start-up, Kurion.<ref name=fortune/>",2.5,nlp:ext_link(fortune.com),4.2761,0.0,0.5227,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}","{""v"": 0.0815, ""s"": 0.2083, ""t"": 0.7101}",False,,Error: Expecting value: line 1 column 1 (char 0),SUSPICIOUS,0.7,The edit introduces a new name 'Bonaldo' and changes the Commodore model from 64 to 67. These are potential factual errors that require further investigation.,"{""v"": 0.25, ""s"": 0.15, ""t"": 0.6}",,0.6767,False,"{""v"": 0.0, ""s"": 0.05, ""t"": 0.95}"
2009133339,1952 Hyderabad State Legislative Assembly election,456legend,False,1774365106,en.wikipedia.org,0,Title is self explanatory,27261,27237,1344427450,1345148299,False,False,enwiki,https://en.wikipedia.org/wiki/1952_Hyderabad_State_Legislative_Assembly_election,https://en.wikipedia.org/w/index.php?diff=1345148299&oldid=1344427450,0.0,,{{Short description|none}},"{{Short description|Election in Hyderabad, India}}",0.0,,0.0,0.0,0.5,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}","{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",,,,,,,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",,0.2952,False,"{""v"": 0.0, ""s"": 0.05, ""t"": 0.95}"
2009133344,Gary Magness,Gjb0zWxOb,False,1774365109,en.wikipedia.org,0,added [[Category:Film producers from Colorado]] using [[WP:HC|HotCat]],2587,2629,1345148283,1345148309,False,False,enwiki,https://en.wikipedia.org/wiki/Gary_Magness,https://en.wikipedia.org/w/index.php?diff=1345148309&oldid=1345148283,0.0,,[[Category:Film producers from Colorado]],,2.0,it:random(1.22),3.8952,0.369,1.2162,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}","{""v"": 0.0624, ""s"": 0.2253, ""t"": 0.7123}",False,,Error: Expecting value: line 1 column 1 (char 0),SAFE,0.95,The edit appears to be a legitimate categorization of the subject based on their origin.,"{""v"": 0.03, ""s"": 0.65, ""t"": 0.32}",,0.0,False,"{""v"": 0.0, ""s"": 0.05, ""t"": 0.95}"
2009133348,Kaushiki,~2026-18353-59,False,1774365109,en.wikipedia.org,0,"/* Legends */ She is not Lakshmi, she is the form of Parvati... let's have a debate ok if you have any problem",7593,6499,1345148174,1345148310,False,False,enwiki,https://en.wikipedia.org/wiki/Kaushiki,https://en.wikipedia.org/w/index.php?diff=1345148310&oldid=1345148174,0.0,,,"'''<big>Pancharatra Agamas</big>'''

In [[Lakshmi Tantra]], [[Lakshmi|Lakshmi Devi]] tells [[Indra]] that she is the [[shakti]] who came out of [[Parvati|Gauri]] as ''Kaushiki'' and killed many demons, including [[Shumbha and Nishumbha]].
<blockquote style=""background-color:none;margin-right:5em;margin-left:0em;border-left:solid 6px #FFE0BB;padding:1.0em""><poem>
O [[Indra|Sakra]], during the period of [[Manu (Hinduism)|Tamasa (Manu)]],
I, the supreme [[Mahavidya]], was Kaushiki, who sprang from the body of [[Parvati|Gauri]]
to slay all those notorious demons including [[Shumbha and Nishumbha]].
Thereby I rescued the worlds and helped the gods.
O [[Indra|lord of all gods]], when worshipped with devotion.
I, the goddess Kaushiki fulfiller of many desires, bestow omniscience (on the devotee).
</poem>
– [[Lakshmi Tantra]], ''[[Pancharatra]] Agama''<ref>{{cite book|title=Laksmi Tantra: A Pancharatra Text|url=https://books.google.com/books?id=pENlKmZ4r94C|author=Sanjukta Gupta|publisher=Motilal Banarsidass Publishers|year=2000|page=50|isbn = 9788120817357}}</ref>
</blockquote>",2.5,nlp:markup_del,0.0,0.0,0.5,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}","{""v"": 0.0815, ""s"": 0.2083, ""t"": 0.7101}",False,,Error: Expecting value: line 1 column 1 (char 0),SUSPICIOUS,0.7,"The edit introduces new claims about Kaushiki's origins and actions without proper sourcing. The added text also appears to be a poem fragment, which is unusual for an encyclopedia entry.  While not outright vandalism, the lack of neutrality and potential for factual inaccuracy warrant further review.","{""v"": 0.25, ""s"": 0.15, ""t"": 0.6}",,0.0,False,"{""v"": 0.0, ""s"": 0.05, ""t"": 0.95}"
