id,title,user,bot,timestamp,domain,namespace,comment,length_old,length_new,revision_old,revision_new,minor,patrolled,wiki,title_url,wiki_url,rule_score,rules,diff_added,diff_removed,nlp_score,nlp_notes,entropy,kl_divergence,compression_ratio,mass_rule,mass_nlp,is_reverted,revert_by,revert_comment
2009147129,Trans-Mexican Volcanic Belt pine–oak forests,Tom Radulovich,False,1774368307,en.wikipedia.org,0,refs,11401,11516,1345155098,1345155837,False,False,enwiki,https://en.wikipedia.org/wiki/Trans-Mexican_Volcanic_Belt_pine%E2%80%93oak_forests,https://en.wikipedia.org/w/index.php?diff=1345155837&oldid=1345155098,0.0,,,,0.0,,0.0,0.0,0.5,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}","{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",,,
2009147130,List of WBO female world champions,~2026-18511-58,False,1774368305,en.wikipedia.org,0,/* Bantamweight */,23174,23174,1344144609,1345155835,False,False,enwiki,https://en.wikipedia.org/wiki/List_of_WBO_female_world_champions,https://en.wikipedia.org/w/index.php?diff=1345155835&oldid=1344144609,0.0,,,,0.0,,0.0,0.0,0.5,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}","{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",,,
2009147132,"Cape Elizabeth, Maine",Urbanjester,False,1774368303,en.wikipedia.org,0,Reverted 1 edit by [[Special:Contributions/~2026-18202-68|~2026-18202-68]] ([[User talk:~2026-18202-68|talk]]) to last revision by Vsmith,29188,29167,1345155767,1345155830,True,False,enwiki,"https://en.wikipedia.org/wiki/Cape_Elizabeth,_Maine",https://en.wikipedia.org/w/index.php?diff=1345155830&oldid=1345155767,0.0,,,,0.0,,0.0,0.0,0.5,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}","{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",,,
2009147133,Hsu Wen-chi,~2026-16775-59,False,1774368307,en.wikipedia.org,0,,8884,8884,1342985561,1345155840,False,False,enwiki,https://en.wikipedia.org/wiki/Hsu_Wen-chi,https://en.wikipedia.org/w/index.php?diff=1345155840&oldid=1342985561,1.0,rule:no_comment,,,0.0,,0.0,0.0,0.5,"{""v"": 0.0442, ""s"": 0.243, ""t"": 0.7128}","{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",False,,Error: Expecting value: line 1 column 1 (char 0)
2009147135,Banded mud moray eel,Mill 1,False,1774368305,en.wikipedia.org,0,Added category,1433,1482,1313777563,1345155836,True,False,enwiki,https://en.wikipedia.org/wiki/Banded_mud_moray_eel,https://en.wikipedia.org/w/index.php?diff=1345155836&oldid=1313777563,0.0,,,,0.0,,0.0,0.0,0.5,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}","{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",,,
2009147140,Don't Cha,Drmies,False,1774368307,en.wikipedia.org,0,/* The Pussycat Dolls version */,85556,85427,1345155708,1345155841,True,False,enwiki,https://en.wikipedia.org/wiki/Don%27t_Cha,https://en.wikipedia.org/w/index.php?diff=1345155841&oldid=1345155708,0.0,,,,0.0,,0.0,0.0,0.5,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}","{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",,,
2009147139,Teddy Dye,Ira Leviton,False,1774368307,en.wikipedia.org,0,Fixed deprecated parameters in the infobox. (via [[WP:JWB]]),3761,3761,1332457780,1345155839,True,False,enwiki,https://en.wikipedia.org/wiki/Teddy_Dye,https://en.wikipedia.org/w/index.php?diff=1345155839&oldid=1332457780,0.0,,,,0.0,,0.0,0.0,0.5,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}","{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",,,
2009147144,Maryland Legislative District 17,OneOldNewspaperFan,False,1774368310,en.wikipedia.org,0,/* Recent elections */,9937,11544,1345154727,1345155848,False,False,enwiki,https://en.wikipedia.org/wiki/Maryland_Legislative_District_17,https://en.wikipedia.org/w/index.php?diff=1345155848&oldid=1345154727,0.0,,,,0.0,,0.0,0.0,0.5,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}","{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",,,
2009147147,ESPN (streaming service),~2026-17241-74,False,1774368309,en.wikipedia.org,0,,28745,28793,1345155654,1345155847,False,False,enwiki,https://en.wikipedia.org/wiki/ESPN_(streaming_service),https://en.wikipedia.org/w/index.php?diff=1345155847&oldid=1345155654,1.0,rule:no_comment,,,0.0,,0.0,0.0,0.5,"{""v"": 0.0442, ""s"": 0.243, ""t"": 0.7128}","{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",False,,Error: Expecting value: line 1 column 1 (char 0)
2009147145,Wash It All Away (manga),SimonLagann,False,1774368309,en.wikipedia.org,0,/* Manga */,52256,52255,1345153527,1345155846,False,False,enwiki,https://en.wikipedia.org/wiki/Wash_It_All_Away_(manga),https://en.wikipedia.org/w/index.php?diff=1345155846&oldid=1345153527,0.0,,,,0.0,,0.0,0.0,0.5,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}","{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",,,
2009147151,Blackedge conger,Mill 1,False,1774368310,en.wikipedia.org,0,Added wiki link to [[John Otterbein Snyder]],2302,2328,1345153597,1345155849,True,False,enwiki,https://en.wikipedia.org/wiki/Blackedge_conger,https://en.wikipedia.org/w/index.php?diff=1345155849&oldid=1345153597,0.0,,,,0.0,,0.0,0.0,0.5,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}","{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",,,
2009147150,Hezekiah Wagstaff,LionmerterTHE,False,1774368307,en.wikipedia.org,0,"clean up, [[WP:AWB/T|typo(s) fixed]]: 1951-2016 → 1951–2016",8822,8822,1317526209,1345155843,True,False,enwiki,https://en.wikipedia.org/wiki/Hezekiah_Wagstaff,https://en.wikipedia.org/w/index.php?diff=1345155843&oldid=1317526209,0.0,,,,0.0,,0.0,0.0,0.5,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}","{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",,,
2009147152,Leptidea morsei,Notafly,False,1774368312,en.wikipedia.org,0,Arnost Grund,3165,3309,1345126359,1345155857,False,False,enwiki,https://en.wikipedia.org/wiki/Leptidea_morsei,https://en.wikipedia.org/w/index.php?diff=1345155857&oldid=1345126359,0.0,,,,0.0,,0.0,0.0,0.5,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}","{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",,,
2009147153,1969 U.S. Open (golf),Pbritti,False,1774368311,en.wikipedia.org,0,Per [[MOS:TIES]],23405,23446,1321261840,1345155855,False,False,enwiki,https://en.wikipedia.org/wiki/1969_U.S._Open_(golf),https://en.wikipedia.org/w/index.php?diff=1345155855&oldid=1321261840,0.0,,,,0.0,,0.0,0.0,0.5,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}","{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",,,
2009147158,WRMM-FM,~2026-18408-03,False,1774368312,en.wikipedia.org,0,WRMM,3823,3810,1343815757,1345155859,False,False,enwiki,https://en.wikipedia.org/wiki/WRMM-FM,https://en.wikipedia.org/w/index.php?diff=1345155859&oldid=1343815757,0.0,,,,0.0,,0.0,0.0,0.5,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}","{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",,,
2009147159,War between Cao Cao and Zhang Xiu,Yzqeight,False,1774368313,en.wikipedia.org,0,/* Battle of Wancheng */,26481,26686,1345155419,1345155862,False,False,enwiki,https://en.wikipedia.org/wiki/War_between_Cao_Cao_and_Zhang_Xiu,https://en.wikipedia.org/w/index.php?diff=1345155862&oldid=1345155419,0.0,,,,0.0,,0.0,0.0,0.5,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}","{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",,,
2009147162,FC Laval,RedPatch,False,1774368313,en.wikipedia.org,0,,17105,17097,1312977859,1345155863,False,False,enwiki,https://en.wikipedia.org/wiki/FC_Laval,https://en.wikipedia.org/w/index.php?diff=1345155863&oldid=1312977859,1.0,rule:no_comment,,,0.0,,0.0,0.0,0.5,"{""v"": 0.0442, ""s"": 0.243, ""t"": 0.7128}","{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",False,,Error: Expecting value: line 1 column 1 (char 0)
