id,title,user,bot,timestamp,domain,namespace,comment,length_old,length_new,revision_old,revision_new,minor,patrolled,wiki,title_url,wiki_url,rule_score,rules,diff_added,diff_removed,nlp_score,nlp_notes,entropy,kl_divergence,compression_ratio,mass_rule,mass_nlp
2009392936,Extensor digiti minimi muscle,Kayawaya,False,1774426524,en.wikipedia.org,0,Substituting picture of right-sided forearm & hand for the sake of didactics.,4504,4525,1345272946,1345274573,False,False,enwiki,https://en.wikipedia.org/wiki/Extensor_digiti_minimi_muscle,https://en.wikipedia.org/w/index.php?diff=1345274573&oldid=1345272946,0.0,,"| Image = ForearmMusculature.png
| Caption = The superficial layer of muscles of the posterior aspect of the right forearm. (Extensor digiti minimi labeled 9 at center left.)","| Image = Gray424.png
| Caption = The synovial sheaths of the tendons on the back of the wrist. (Extensor digiti quinti proprius labeled at center left.)",0.0,,4.1681,0.0314,0.7952,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}","{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}"
2009392938,Ascuta monowai,Mill 1,False,1774426522,en.wikipedia.org,0,Added category,2119,2165,1275899252,1345274571,True,False,enwiki,https://en.wikipedia.org/wiki/Ascuta_monowai,https://en.wikipedia.org/w/index.php?diff=1345274571&oldid=1275899252,0.0,,[[Category:Taxa named by Norman I. Platnick]],,2.0,it:random(1.20),4.0435,0.2739,1.1951,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}","{""v"": 0.0624, ""s"": 0.2253, ""t"": 0.7123}"
2009392937,Military parade,LionmerterTHE,False,1774426518,en.wikipedia.org,0,"clean up, [[WP:AWB/T|typo(s) fixed]]: June 8, 1991 → June 8, 1991, (2)",145442,145442,1343417064,1345274563,True,False,enwiki,https://en.wikipedia.org/wiki/Military_parade,https://en.wikipedia.org/w/index.php?diff=1345274563&oldid=1343417064,0.0,,"The national parades are held in a host city selected for the year, and typically include military unis from all three services, the [[Finnish Border Guard]] and [[Territorial Forces (Finland)|reserve units]], contingents from  the [[National Defence Training Association of Finland]] and other voluntary national defence organisations, and contingents of civilian authorities, e.g. the [[Police of Finland]]. Helsinki hosts the June 4 flag day parade every fifth year; 1997, 2002, 2007, 2012, 2017, 2022, 2027, and so on.
The [[Pakistan Day Parade]], also known as the National Day Joint Services Parade, is an annual event held at [[Shakarparian]] in [[Islamabad]] to commemorate the [[Pakistan Day]] on 23 March, marking the anniversary of the 1940 [[Lahore Resolution]]. The parade is presided over by the [[President of Pakistan]] and the [[Prime Minister of Pakistan]], alongside the [[Chairman Joint Chiefs of Staff Committee]], and the Chiefs of the [[Chief of Army Staff (Pakistan)|Army]], [[Chief of Naval Staff (Pakistan)|Navy]], and [[Chief of Air Staff (Pakistan)|Air Force]]. Foreign dignitaries often attend as special guests. The event is organised by [[Joint Staff Headquarters (Pakistan)|Joint Staff Headquarters]] and showcases the country's military strength and national unity.
The first known organized military procession in the [[United States]] was the [[Grand Review of the Armies]], on May 23 and May 24, 1865, following the end of the [[American Civil War]] (1861–1865). The [[New York City Victory Parade of 1946]] was held in mid-January in 1946 to commemorate the conclusion of [[World War II]] and the Allied victory over the Axis Powers in all theaters of the war, helped by the service of millions of Americans who served under the armed forces and the National Guard, in addition to the state defense forces. In the late 40s and the early 50s, massive parades in honor of Army Day and later Armed Forces Day were held in the capital.<ref>{{Cite web|url=https://networks.h-net.org/node/28441/discussions/1341907/washington-loves-parade|title=Washington Loves a Parade &#124; H-DC &#124; H-Net|website=networks.h-net.org|access-date=Aug 25, 2020}}</ref> The [[National Victory Celebration]] parade was held on June 8, 1991, to celebrate the conclusion of [[Gulf War]] in [[Iraq]]. The [[US Army 250th Anniversary Parade]] was held on June 14, 2025, to celebrate the Army's 250th birthday.","The national parades are held in a host city selected for the year, and typically include military unis from all three services, the [[Finnish Border Guard]] and [[Territorial Forces (Finland)|reserve units]], contingents from  the [[National Defence Training Association of Finland]] and other voluntary national defence organisations, and contingents of civilian authorities, e.g. the [[Police of Finland]]. Helsinki hosts the June 4 flag day parade every fifth year; 1997, 2002, 2007, 2012, 2017, 2022, 2027, and so on.
The [[Pakistan Day Parade]], also known as the National Day Joint Services Parade, is an annual event held at [[Shakarparian]] in [[Islamabad]] to commemorate the [[Pakistan Day]] on 23 March, marking the anniversary of the 1940 [[Lahore Resolution]]. The parade is presided over by the [[President of Pakistan]] and the [[Prime Minister of Pakistan]], alongside the [[Chairman Joint Chiefs of Staff Committee]], and the Chiefs of the [[Chief of Army Staff (Pakistan)|Army]], [[Chief of Naval Staff (Pakistan)|Navy]], and [[Chief of Air Staff (Pakistan)|Air Force]]. Foreign dignitaries often attend as special guests. The event is organised by [[Joint Staff Headquarters (Pakistan)|Joint Staff Headquarters]] and showcases the country's military strength and national unity.
The first known organized military procession in the [[United States]] was the [[Grand Review of the Armies]], on May 23 and May 24, 1865, following the end of the [[American Civil War]] (1861–1865). The [[New York City Victory Parade of 1946]] was held in mid-January in 1946 to commemorate the conclusion of [[World War II]] and the Allied victory over the Axis Powers in all theaters of the war, helped by the service of millions of Americans who served under the armed forces and the National Guard, in addition to the state defense forces. In the late 40s and the early 50s, massive parades in honor of Army Day and later Armed Forces Day were held in the capital.<ref>{{Cite web|url=https://networks.h-net.org/node/28441/discussions/1341907/washington-loves-parade|title=Washington Loves a Parade &#124; H-DC &#124; H-Net|website=networks.h-net.org|access-date=Aug 25, 2020}}</ref> The [[National Victory Celebration]] parade was held on June 8, 1991 to celebrate the conclusion of [[Gulf War]] in [[Iraq]]. The [[US Army 250th Anniversary Parade]] was held on June 14, 2025 to celebrate the Army's 250th birthday.",0.0,,4.3628,0.0,0.501,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}","{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}"
2009392939,Spanish animation,~2026-18237-67,False,1774426522,en.wikipedia.org,0,,23875,23912,1323092967,1345274569,False,False,enwiki,https://en.wikipedia.org/wiki/Spanish_animation,https://en.wikipedia.org/w/index.php?diff=1345274569&oldid=1323092967,1.0,rule:no_comment,'''{{Infobox animation list by country}}Spanish animation''' refers to [[animation]] made in [[Spain]].,'''Spanish animation''' refers to [[animation]] made in [[Spain]].,2.0,it:random(0.94),3.5923,0.263,0.9423,"{""v"": 0.0442, ""s"": 0.243, ""t"": 0.7128}","{""v"": 0.0624, ""s"": 0.2253, ""t"": 0.7123}"
2009392943,Elections in Kerala,~2026-18727-75,False,1774426519,en.wikipedia.org,0,Kerala's new official name is keralam,56134,56135,1344703262,1345274567,False,False,enwiki,https://en.wikipedia.org/wiki/Elections_in_Kerala,https://en.wikipedia.org/w/index.php?diff=1345274567&oldid=1344703262,0.0,,"'''Elections in Kerala''' are regularly held to appoint government officials at various levels, both within the state of [[Keralam]] and in [[India]] as a whole. These elections encompass national elections as well as regional elections for local bodies and ''[[Panchayati raj in India|panchayats]]''.","'''Elections in Kerala''' are regularly held to appoint government officials at various levels, both within the state of [[Kerala]] and in [[India]] as a whole. These elections encompass national elections as well as regional elections for local bodies and ''[[Panchayati raj in India|panchayats]]''.",0.0,,4.0427,0.0,0.6549,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}","{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}"
2009392944,Roberto Sneider,LionmerterTHE,False,1774426524,en.wikipedia.org,0,"clean up, [[WP:AWB/T|typo(s) fixed]]: Assistant Director → assistant director",6220,6219,1285718688,1345274576,True,False,enwiki,https://en.wikipedia.org/wiki/Roberto_Sneider,https://en.wikipedia.org/w/index.php?diff=1345274576&oldid=1285718688,0.0,,"{{Use mdy dates|date=March 2014}}
Sneider started his career working in many different aspects of production, including being a Location Manager, Production Manager, and assistant director. His credits include films such as ''[[Havana (film)|Havana]]'' ([[Sidney Pollack]]), ''Gringo Viejo'' (Luis Puenzo), ''[[Blood In Blood Out|Blood In, Blood Out]]'' ([[Taylor Hackford]]) and ''[[Mi Vida Loca]]'' ([[Allison Anders]]).<ref name=about/>
Sneider produced and directed “[[Tear This Heart Out|Arráncame la Vida]]”, a period drama based on the novel of the same name by Ángeles Mastretta.  With critically acclaimed performances by [[Ana Claudia Talancón]] and [[Daniel Giménez Cacho]], it was Mexico's official submission for the 2009 [[Academy Awards|Academy Award]] for Best Foreign Language Film and is one of the highest grossing Mexican films ever.<ref>{{cite web| url = https://www.forbes.com.mx/las-15-peliculas-mexicanas-mas-taquilleras-de-la-historia/| title = Las 15 películas mexicanas más taquilleras de la historia • Forbes México| date = July 19, 2013}}</ref> It won three Mexican Academy awards.<ref name=about/><ref>{{Cite web|url=https://variety.com/2009/film/awards/nine-vie-for-foreign-language-oscar-1117998446/|title=Nine vie for foreign language Oscar|date=January 13, 2009}}</ref>","{{Use mdy dates|date=March 2014}}
Sneider started his career working in many different aspects of production, including being a Location Manager, Production Manager, and Assistant Director. His credits include films such as ''[[Havana (film)|Havana]]'' ([[Sidney Pollack]]), ''Gringo Viejo'' (Luis Puenzo), ''[[Blood In Blood Out|Blood In, Blood Out]]'' ([[Taylor Hackford]]) and ''[[Mi Vida Loca]]'' ([[Allison Anders]]).<ref name=about/>
Sneider produced and directed “[[Tear This Heart Out|Arráncame la Vida]]”, a period drama based on the novel of the same name by Ángeles Mastretta.  With critically acclaimed performances by [[Ana Claudia Talancón]] and [[Daniel Giménez Cacho]], it was Mexico's official submission for the 2009 [[Academy Awards|Academy Award]] for Best Foreign Language Film and is one of the highest grossing Mexican films ever.<ref>{{cite web| url = https://www.forbes.com.mx/las-15-peliculas-mexicanas-mas-taquilleras-de-la-historia/| title = Las 15 películas mexicanas más taquilleras de la historia • Forbes México| date = July 19, 2013}} </ref> It won three Mexican Academy awards.<ref name=about/><ref>{{Cite web|url=https://variety.com/2009/film/awards/nine-vie-for-foreign-language-oscar-1117998446/|title=Nine vie for foreign language Oscar|date=January 13, 2009}}</ref>",4.0,nlp:pov_shift(best);nlp:ext_link(forbes.com.mx),4.3509,0.0,0.6408,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}","{""v"": 0.1433, ""s"": 0.1613, ""t"": 0.6954}"
2009392947,Age of Empires III: The Asian Dynasties,LionmerterTHE,False,1774426525,en.wikipedia.org,0,"/* Campaigns */ clean up, [[WP:AWB/T|typo(s) fixed]]: Company → company (3)",25923,25923,1337112627,1345274577,True,False,enwiki,https://en.wikipedia.org/wiki/Age_of_Empires_III:_The_Asian_Dynasties,https://en.wikipedia.org/w/index.php?diff=1345274577&oldid=1337112627,0.0,,"}}</ref> Nanib uses one of the rifles to fire a near miss at Edwardson (loosely based on a similar incident involving [[Mangal Pandey]]), killing one of his soldiers. Nanib and fellow sepoy Pravar Patel then lead their regiment of sepoy in an attack on the local Company fort by assaulting weapon caches to cause fires and explosions under its foundations. After their victory, Nanib and Pravar quickly rally the local citizens and sepoys, raising enormous forces. Although Nanib denies leadership of the revolt, he and Pravar decide to rescue [[Bahadur Shah II]] from British captivity when the Shah declares himself supreme ruler of India. They sneak into Delhi in the dead of night and destroy weapon caches to cause elephant stampedes, which destroy various city gates. Along the way, they find more rebels who help them battle through [[Delhi]], freeing the Shah and escaping into the night. Nanib subsequently leads his forces in an assault on a Company fort in [[Shimla]] commanded by Colonel Edwardson. Nanib destroys or captures the saltpetre sites and plantations supplying Edwardson's forces inside the fort and fends off three counterattacks. Finally, he assaults the fort and captures its outer defenses, including the fixed guns, mortally wounding Edwardson in the process before destroying the fort's command post. When the heat of battle fades, Nanib approaches a dying Edwardson, who threatens and curses the Indians, saying that the company is a much larger and more powerful force than all of India. Nanib replies by explaining that no military force can kill the Indians' passion for their country. After Edwardson dies, Nanib and Pravar leave to prepare for continued war with the company, and three rebel sepoys are seen lowering the company's flag from the nearby flagpost.","}}</ref> Nanib uses one of the rifles to fire a near miss at Edwardson (loosely based on a similar incident involving [[Mangal Pandey]]), killing one of his soldiers. Nanib and fellow sepoy Pravar Patel then lead their regiment of sepoy in an attack on the local Company fort by assaulting weapon caches to cause fires and explosions under its foundations. After their victory, Nanib and Pravar quickly rally the local citizens and sepoys, raising enormous forces. Although Nanib denies leadership of the revolt, he and Pravar decide to rescue [[Bahadur Shah II]] from British captivity when the Shah declares himself supreme ruler of India. They sneak into Delhi in the dead of night and destroy weapon caches to cause elephant stampedes, which destroy various city gates. Along the way, they find more rebels who help them battle through [[Delhi]], freeing the Shah and escaping into the night. Nanib subsequently leads his forces in an assault on a Company fort in [[Shimla]] commanded by Colonel Edwardson. Nanib destroys or captures the saltpetre sites and plantations supplying Edwardson's forces inside the fort and fends off three counterattacks. Finally, he assaults the fort and captures its outer defenses, including the fixed guns, mortally wounding Edwardson in the process before destroying the fort's command post. When the heat of battle fades, Nanib approaches a dying Edwardson, who threatens and curses the Indians, saying that the Company is a much larger and more powerful force than all of India. Nanib replies by explaining that no military force can kill the Indians' passion for their country. After Edwardson dies, Nanib and Pravar leave to prepare for continued war with the Company, and three rebel sepoys are seen lowering the Company's flag from the nearby flagpost.",0.0,,4.192,0.0,0.4912,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}","{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}"
2009392948,Pittsburgh Panthers women's basketball,LionmerterTHE,False,1774426524,en.wikipedia.org,0,"clean up, [[WP:AWB/T|typo(s) fixed]]: 53-72 → 53–72 (14)",25307,25334,1344980635,1345274575,True,False,enwiki,https://en.wikipedia.org/wiki/Pittsburgh_Panthers_women%27s_basketball,https://en.wikipedia.org/w/index.php?diff=1345274575&oldid=1344980635,0.0,,"
|[[2008 NCAA Division I women's basketball tournament|2008]] || #6 || First Round<br>Second Round<br>Sweet Sixteen || Wyoming<br>Baylor<br>Stanford || '''W''' 63–58<br>'''W''' 67–59<br>L 53–72
* Brianna Kissel, 2011–2015; 1938 points, 15.9 PPG
* Dayshanette Harris, 2019–2023; 1085, 10.6 PPG
* [[Liatu King]], 2020–2024; 1073 points, 10.5 PPG (through 2/18/24)
| {{center|'''24'''}} || Lorri Johnson  || F|| 1987-1991 ||  January 13, 2019 || <ref>{{cite web|url=https://www.pittwire.pitt.edu/pittwire/features-articles/first-pitt-womens-athletics-jersey-retired|website=Pitt Wire|title=First Pitt Women's Athletics Jersey Retired|date=January 16, 2019}}</ref>
|| #8 || First Round<br />Second Round|| #9 James Madison<br />#1 Tennessee || '''W''' 71–61<br />L 68–54
|| #6 || First Round<br />Second Round<br />Sweet Sixteen || #11 Wyoming<br />3 Baylor<br />#2 Stanford || '''W''' 63–58<br />'''W''' 67–59<br />L 72–53
|| #4 || First Round<br />Second Round<br />Sweet Sixteen || #13 Montana<br />12 Gonzaga<br />#1 Oklahoma || '''W''' 64–35<br />'''W''' 65–60<br />L 70–59
|| #10 || First Round<br />Second Round|| #7 Chattanooga<br />#2 Tennessee || '''W''' 51–40<br />L 77–67","|[[2008 NCAA Division I women's basketball tournament|2008]] || #6 || First Round<br>Second Round<br>Sweet Sixteen || Wyoming<br>Baylor<br>Stanford || '''W''' 63–58<br>'''W''' 67–59<br>L 53-72
* Brianna Kissel, 2011-2015; 1938 points, 15.9 PPG
* Dayshanette Harris, 2019-2023; 1085, 10.6 PPG
* [[Liatu King]], 2020-2024; 1073 points, 10.5 PPG (through 2/18/24)
| {{center|'''24'''}} || Lorri Johnson  || F|| 1987-1991 ||  January 13, 2019 || <ref>{{cite web|url=https://www.pittwire.pitt.edu/pittwire/features-articles/first-pitt-womens-athletics-jersey-retired|website=Pitt Wire|title=First Pitt Women’s Athletics Jersey Retired|date=January 16, 2019}}</ref>
|| #8 || First Round<br />Second Round|| #9 James Madison<br />#1 Tennessee || '''W''' 71-61<br />L 68-54
|| #6 || First Round<br />Second Round<br />Sweet Sixteen || #11 Wyoming<br />3 Baylor<br />#2 Stanford || '''W''' 63-58<br />'''W''' 67-59<br />L 72-53
|| #4 || First Round<br />Second Round<br />Sweet Sixteen || #13 Montana<br />12 Gonzaga<br />#1 Oklahoma || '''W''' 64-35<br />'''W''' 65-60<br />L 70-59
|| #10 || First Round<br />Second Round|| #7 Chattanooga<br />#2 Tennessee || '''W''' 51-40<br />L 77-67",0.0,,4.8297,0.0,0.5385,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}","{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}"
2009392949,Eastern Canada Professional Soccer League,LionmerterTHE,False,1774426526,en.wikipedia.org,0,"clean up, [[WP:AWB/T|typo(s) fixed]]: 2-1 → 2–1 (7)",9924,9937,1303990854,1345274578,True,False,enwiki,https://en.wikipedia.org/wiki/Eastern_Canada_Professional_Soccer_League,https://en.wikipedia.org/w/index.php?diff=1345274578&oldid=1303990854,0.0,,"The 1961 season featured a 48-match schedule from 14 May to 20 September, with all four teams playing 24 matches each. Matches were played at [[Varsity Stadium]] in Toronto, [[Ivor Wynne Stadium|Civic Centre]] in Hamilton, and [[Delorimier Stadium|Stade Delorimier]] in Montréal. Hamilton Steelers won the league's opening match 2–1, although it was Montréal Cantalia's [[Ismael Ferreyra]] who scored the league's first goal in the 14 May opener.<ref>{{cite web|url=https://news.google.com/newspapers?nid=Fr8DH2VBP9sC&dat=19610515&printsec=frontpage&hl=en|title=The Montreal Gazette - Google News Archive Search|website=news.google.com}}</ref> An all-star match was played on 4 September featuring stars from Toronto's two teams against stars from Hamilton-Montréal. The regular season was then followed by two rounds of playoffs from 21 September to 9 October.
* [[Hamilton Steelers (ECPSL)|Hamilton Steelers]] (1961–1964) / Primo Hamilton FC (1965–1966)
* Montréal Italica (1964–1965) / Inter Italica (1966)
* [[Toronto City|Toronto City FC]] (1961–1965)
* Toronto Roma FC (1962-1964 / Inter-Roma (1965–1966)
* [[Toronto Falcons (1967–1968)|Toronto Italia FC]] (1961–1964) / Italia Falcons (1965–66)","
The 1961 season featured a 48-match schedule from 14 May to 20 September, with all four teams playing 24 matches each. Matches were played at [[Varsity Stadium]] in Toronto, [[Ivor Wynne Stadium|Civic Centre]] in Hamilton, and [[Delorimier Stadium|Stade Delorimier]] in Montréal. Hamilton Steelers won the league's opening match 2-1, although it was Montréal Cantalia's [[Ismael Ferreyra]] who scored the league's first goal in the 14 May opener.<ref>{{cite web|url=https://news.google.com/newspapers?nid=Fr8DH2VBP9sC&dat=19610515&printsec=frontpage&hl=en|title=The Montreal Gazette - Google News Archive Search|website=news.google.com}}</ref> An all-star match was played on 4 September featuring stars from Toronto's two teams against stars from Hamilton-Montréal. The regular season was then followed by two rounds of playoffs from 21 September to 9 October.
* [[Hamilton Steelers (ECPSL)|Hamilton Steelers]] (1961-1964) / Primo Hamilton FC (1965-1966)
* Montréal Italica (1964-1965) / Inter Italica (1966)
* [[Toronto City|Toronto City FC]] (1961-1965)
* Toronto Roma FC (1962-1964 / Inter-Roma (1965-1966)
* [[Toronto Falcons (1967–1968)|Toronto Italia FC]] (1961-1964) / Italia Falcons (1965–66)",2.5,nlp:ext_link(news.google.com),4.5327,0.0,0.5211,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}","{""v"": 0.0815, ""s"": 0.2083, ""t"": 0.7101}"
2009392950,Ascuta montana,Mill 1,False,1774426526,en.wikipedia.org,0,Added category,2114,2160,1275899290,1345274580,True,False,enwiki,https://en.wikipedia.org/wiki/Ascuta_montana,https://en.wikipedia.org/w/index.php?diff=1345274580&oldid=1275899290,0.0,,[[Category:Taxa named by Norman I. Platnick]],,2.0,it:random(1.20),4.0435,0.2739,1.1951,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}","{""v"": 0.0624, ""s"": 0.2253, ""t"": 0.7123}"
