id,title,user,bot,timestamp,domain,namespace,comment,length_old,length_new,revision_old,revision_new,minor,patrolled,wiki,title_url,wiki_url,rule_score,rules,diff_added,diff_removed,nlp_score,nlp_notes,entropy,kl_divergence,compression_ratio,mass_rule,mass_nlp,is_reverted,revert_by,revert_comment,llm_class,llm_conf,llm_reason,mass_llm
2009734816,List of Major League Baseball career games played as a shortstop leaders,BaseballFanatic1,False,1774502637,en.wikipedia.org,0,/* List */,14222,14208,1334807375,1345454983,False,False,enwiki,https://en.wikipedia.org/wiki/List_of_Major_League_Baseball_career_games_played_as_a_shortstop_leaders,https://en.wikipedia.org/w/index.php?diff=1345454983&oldid=1334807375,0.0,,,,0.0,,0.0,0.0,0.5,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}","{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",,,,,,,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}"
2009734815,Western Ganga dynasty,~2026-18726-60,False,1774502632,en.wikipedia.org,0,/* Timeline */,69637,69637,1339576561,1345454981,False,False,enwiki,https://en.wikipedia.org/wiki/Western_Ganga_dynasty,https://en.wikipedia.org/w/index.php?diff=1345454981&oldid=1339576561,0.0,,,,0.0,,0.0,0.0,0.5,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}","{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",,,,,,,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}"
2009734817,Basej-e Milli,GuesanLoyalist,False,1774502638,en.wikipedia.org,0,,15728,15733,1336708692,1345454989,False,False,enwiki,https://en.wikipedia.org/wiki/Basej-e_Milli,https://en.wikipedia.org/w/index.php?diff=1345454989&oldid=1336708692,1.0,rule:no_comment,,,0.0,,0.0,0.0,0.5,"{""v"": 0.0442, ""s"": 0.243, ""t"": 0.7128}","{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",False,,Error: Expecting value: line 1 column 1 (char 0),SAFE,0.95,No changes detected in the edit summary or provided text.  ,"{""v"": 0.03, ""s"": 0.65, ""t"": 0.32}"
2009734818,Christopher Denham,Yedaman54,False,1774502636,en.wikipedia.org,0,Added Use American English per [[MOS:TIES]],16747,16788,1339742369,1345454985,True,False,enwiki,https://en.wikipedia.org/wiki/Christopher_Denham,https://en.wikipedia.org/w/index.php?diff=1345454985&oldid=1339742369,0.0,,,,0.0,,0.0,0.0,0.5,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}","{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",,,,,,,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}"
2009734819,Wolfgang Kroll,Vycl1994,False,1774502638,en.wikipedia.org,0,/* Post-war Period */,26415,26418,1345441414,1345454987,False,False,enwiki,https://en.wikipedia.org/wiki/Wolfgang_Kroll,https://en.wikipedia.org/w/index.php?diff=1345454987&oldid=1345441414,0.0,,,,0.0,,0.0,0.0,0.5,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}","{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",,,,,,,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}"
2009734821,2006 United States House of Representatives elections,PA Uploader,False,1774502615,en.wikipedia.org,0,Removed links to nonexistent pages (some of which were deleted decades ago) and redirected pages,276597,272695,1345069893,1345454958,False,False,enwiki,https://en.wikipedia.org/wiki/2006_United_States_House_of_Representatives_elections,https://en.wikipedia.org/w/index.php?diff=1345454958&oldid=1345069893,0.0,,,,0.0,,0.0,0.0,0.5,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}","{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",,,,,,,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}"
2009734822,Criticism of socialism,Guerreroast,False,1774502637,en.wikipedia.org,0,Clean up,38666,38671,1341818245,1345454984,True,False,enwiki,https://en.wikipedia.org/wiki/Criticism_of_socialism,https://en.wikipedia.org/w/index.php?diff=1345454984&oldid=1341818245,0.0,,,,0.0,,0.0,0.0,0.5,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}","{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",,,,,,,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}"
2009734836,The Misfit of Demon King Academy season 2,Sonic Phoenix,False,1774502641,en.wikipedia.org,0,/* Episodes */,35391,35359,1313504592,1345454991,False,False,enwiki,https://en.wikipedia.org/wiki/The_Misfit_of_Demon_King_Academy_season_2,https://en.wikipedia.org/w/index.php?diff=1345454991&oldid=1313504592,0.0,,,,0.0,,0.0,0.0,0.5,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}","{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",,,,,,,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}"
2009734846,Manuel Barrón y Carrillo,Artful Historian,False,1774502644,en.wikipedia.org,0,/* Work */ added text and cite,3809,4024,1345454889,1345454996,False,False,enwiki,https://en.wikipedia.org/wiki/Manuel_Barr%C3%B3n_y_Carrillo,https://en.wikipedia.org/w/index.php?diff=1345454996&oldid=1345454889,0.0,,,,0.0,,0.0,0.0,0.5,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}","{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",,,,,,,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}"
2009734848,List of photographic films,UnknownPotatos,False,1774502638,en.wikipedia.org,0,/* Color negative films */ added flicfilm aurora 400,176873,177425,1345454451,1345454988,False,False,enwiki,https://en.wikipedia.org/wiki/List_of_photographic_films,https://en.wikipedia.org/w/index.php?diff=1345454988&oldid=1345454451,0.0,,,,0.0,,0.0,0.0,0.5,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}","{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",,,,,,,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}"
2009734856,Remember (novel),ScalarFactor,False,1774502645,en.wikipedia.org,0,clean up ([[User:Novem Linguae/Scripts/DraftCleaner.js|DraftCleaner]]),10458,10457,1345423319,1345454999,True,False,enwiki,https://en.wikipedia.org/wiki/Remember_(novel),https://en.wikipedia.org/w/index.php?diff=1345454999&oldid=1345423319,0.0,,,,0.0,,0.0,0.0,0.5,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}","{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",,,,,,,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}"
2009734857,Berthe Cabra,Elite words2,False,1774502646,en.wikipedia.org,0,"added [[Category:Recipients of orders, decorations, and medals of Belgium]] using [[WP:HC|HotCat]]",3704,3774,1345454829,1345455000,False,False,enwiki,https://en.wikipedia.org/wiki/Berthe_Cabra,https://en.wikipedia.org/w/index.php?diff=1345455000&oldid=1345454829,0.0,,,,0.0,,0.0,0.0,0.5,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}","{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",,,,,,,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}"
2009734858,Glossary of classical algebraic geometry,Fukukitaru,False,1774502642,en.wikipedia.org,0,/* growthexperiments-addlink-summary-summary:2|0|0 */,83309,83317,1343393356,1345454994,False,False,enwiki,https://en.wikipedia.org/wiki/Glossary_of_classical_algebraic_geometry,https://en.wikipedia.org/w/index.php?diff=1345454994&oldid=1343393356,0.0,,,,0.0,,0.0,0.0,0.5,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}","{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",,,,,,,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}"
2009734860,Animal (2023 Indian film),~2026-18662-26,False,1774502643,en.wikipedia.org,0,,130298,130301,1345276639,1345454998,False,False,enwiki,https://en.wikipedia.org/wiki/Animal_(2023_Indian_film),https://en.wikipedia.org/w/index.php?diff=1345454998&oldid=1345276639,1.0,rule:no_comment,,,0.0,,0.0,0.0,0.5,"{""v"": 0.0442, ""s"": 0.243, ""t"": 0.7128}","{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",False,,Error: Expecting value: line 1 column 1 (char 0),SAFE,0.95,No changes were made to the text.,"{""v"": 0.03, ""s"": 0.65, ""t"": 0.32}"
2009734870,Atma Shatkam,Joshua Jonathan,False,1774502647,en.wikipedia.org,0,/* Origin */ not in source,6245,5893,1345454650,1345455002,False,False,enwiki,https://en.wikipedia.org/wiki/Atma_Shatkam,https://en.wikipedia.org/w/index.php?diff=1345455002&oldid=1345454650,0.0,,,,0.0,,0.0,0.0,0.5,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}","{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",,,,,,,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}"
2009734880,1975 in Japanese music,James500,False,1774502647,en.wikipedia.org,0,/* Other albums released */Add,18273,18342,1345454185,1345455004,False,False,enwiki,https://en.wikipedia.org/wiki/1975_in_Japanese_music,https://en.wikipedia.org/w/index.php?diff=1345455004&oldid=1345454185,0.0,,,,0.0,,0.0,0.0,0.5,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}","{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",,,,,,,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}"
2009734882,Ice Age: Continental Drift,Inanimanitatist,False,1774502646,en.wikipedia.org,0,"Made one major or minor edit by keeping the details of ""Ice Age: Continental Drift"" in 2012 not too detailed. Also, I won't add this unless further consent or further online evidence/proof, but while ""Continental Drift"" is the fourth installment in the ""Ice Age"" film series, it was criticized and faced issues for plot disconnections or convoluted continuity as a sequel that followed ""Dawn of the Dinosaurs"" in 2009. That's it.",49135,49079,1345143176,1345455003,False,False,enwiki,https://en.wikipedia.org/wiki/Ice_Age:_Continental_Drift,https://en.wikipedia.org/w/index.php?diff=1345455003&oldid=1345143176,0.0,,,,0.0,,0.0,0.0,0.5,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}","{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",,,,,,,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}"
2009734885,Namsan Seoul Tower,Starfishprimo,False,1774502649,en.wikipedia.org,0,/* Access */ added 2 photos,31809,31966,1345423868,1345455008,False,False,enwiki,https://en.wikipedia.org/wiki/Namsan_Seoul_Tower,https://en.wikipedia.org/w/index.php?diff=1345455008&oldid=1345423868,0.0,,,,0.0,,0.0,0.0,0.5,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}","{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",,,,,,,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}"
2009734893,Rory Cochrane,Yedaman54,False,1774502649,en.wikipedia.org,0,Added Use American English per [[MOS:TIES]],7462,7503,1344540871,1345455010,True,False,enwiki,https://en.wikipedia.org/wiki/Rory_Cochrane,https://en.wikipedia.org/w/index.php?diff=1345455010&oldid=1344540871,0.0,,,,0.0,,0.0,0.0,0.5,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}","{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",,,,,,,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}"
2009734894,List of NBA career assists leaders,Loujyun,False,1774502647,en.wikipedia.org,0,/* Assist leaders */,49600,49600,1345454796,1345455006,False,False,enwiki,https://en.wikipedia.org/wiki/List_of_NBA_career_assists_leaders,https://en.wikipedia.org/w/index.php?diff=1345455006&oldid=1345454796,0.0,,,,0.0,,0.0,0.0,0.5,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}","{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",,,,,,,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}"
2009734896,Jody Watley,~2026-18876-68,False,1774502645,en.wikipedia.org,0,/* Influences */,73587,73620,1337170578,1345455007,False,False,enwiki,https://en.wikipedia.org/wiki/Jody_Watley,https://en.wikipedia.org/w/index.php?diff=1345455007&oldid=1337170578,0.0,,,,0.0,,0.0,0.0,0.5,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}","{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",,,,,,,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}"
2009734908,Martin Malia,Guerreroast,False,1774502654,en.wikipedia.org,0,Clean up,4716,4701,1323536009,1345455014,False,False,enwiki,https://en.wikipedia.org/wiki/Martin_Malia,https://en.wikipedia.org/w/index.php?diff=1345455014&oldid=1323536009,0.0,,,,0.0,,0.0,0.0,0.5,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}","{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",,,,,,,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}"
